Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Left Arm,Spreadsheet: Right Arm,Spreadsheet: Left SR,Spreadsheet: Right SR,Spreadsheet: Left Payoff,Spreadsheet: Right Payoff,Spreadsheet: Condition,Spreadsheet: randomise_trials,Spreadsheet: block_flag,Spreadsheet: Win,Spreadsheet: Left Payoff Text,Spreadsheet: Right Payoff Text,Spreadsheet: Win Text,Manipulation: Spreadsheet,Store: greenBox.png,Store: blueBox.png,Store: points
21,1720094810689,04/07/2024 12:06:50,1720098410689,1,04/07/2024 14:06:50,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,5,Trial,Feedback Left,n9r2n7,3,timedOut,,4005,4005,4005,4005,4005,4005,1,4005,0,0,,Time Limit,screen,0,screen,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-7,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 7** points,# Losing,,,,
22,1720094811656,04/07/2024 12:06:51,1720098411656,1,04/07/2024 14:06:51,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,6,Trial,Fixation,gnptrq,1,continue,,967,967,967,967,967,967,1,967,0,0,,Fixation Timing,Fixation,1,object-7,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-3,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 3** point,# Losing,,,,
23,1720094812216,04/07/2024 12:06:52,1720098412216,1,04/07/2024 14:06:52,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,6,Trial,Bandits,91qg1k,2,response,blueBox.png,550,534,550,550,534,550,1,550,0,0,,Click Response,Left Arm,1,object-17,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-3,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 3** point,# Losing,,,,
24,1720094816195,04/07/2024 12:06:56,1720098416195,1,04/07/2024 14:06:56,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,6,Trial,Feedback Left,n9r2n7,3,timedOut,,4006,4005,4006,4006,4005,4006,1,4006,0,0,,Time Limit,screen,0,screen,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-3,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 3** point,# Losing,,,,
25,1720094817163,04/07/2024 12:06:57,1720098417163,1,04/07/2024 14:06:57,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,7,Trial,Fixation,gnptrq,1,continue,,968,968,968,968,968,968,1,968,0,0,,Fixation Timing,Fixation,1,object-7,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-1,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 1** point,# Losing,,,,
26,1720094817723,04/07/2024 12:06:57,1720098417723,1,04/07/2024 14:06:57,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,7,Trial,Bandits,91qg1k,2,response,greenBox.png,550,534,550,550,534,550,1,550,0,0,,Click Response,Right SR,4,object-20,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-1,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 1** point,# Losing,,,,
27,1720094821703,04/07/2024 12:07:01,1720098421703,1,04/07/2024 14:07:01,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,7,Trial,Feedback Right,g47dtj,3,timedOut,,4006.0000000000146,4005,4006.0000000000146,4006.0000000000146,4005,4006.0000000000146,1,4006.0000000000146,0,0,,Time Limit,screen,0,screen,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-1,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 1** point,# Losing,,,,
28,1720094822670,04/07/2024 12:07:02,1720098422670,1,04/07/2024 14:07:02,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,8,Trial,Fixation,gnptrq,1,continue,,968,968,968,968,968,968,1,968,0,0,,Fixation Timing,Fixation,1,object-7,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-5,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 5** points,# Losing,,,,
29,1720094823145,04/07/2024 12:07:03,1720098423145,1,04/07/2024 14:07:03,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,8,Trial,Bandits,91qg1k,2,response,greenBox.png,468,451,468,468,451,468,1,468,0,0,,Click Response,Right SR,4,object-20,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-5,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 5** points,# Losing,,,,
30,1720094827126,04/07/2024 12:07:07,1720098427126,1,04/07/2024 14:07:07,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,8,Trial,Feedback Right,g47dtj,3,timedOut,,4005.0000000000146,4005,4005.0000000000146,4005.0000000000146,4005,4005.0000000000146,1,4005.0000000000146,0,0,,Time Limit,screen,0,screen,Trial,blueBox.png,greenBox.png,**S**,**R**,-4,-5,Lose S = R,1,1,0,# You **lost 4** points,# You **lost 5** points,# Losing,,,,
