Participant Private ID,Response,gain,safe,ID
11377326,0,200,105,85
11377326,0,200,120,85
11377326,0,200,110,85
11377326,0,200,115,85
11377560,1,200,50,94
11377560,1,200,60,94
11377560,0,200,70,94
11377560,1,200,55,94
11377560,0,200,65,94
11377560,0,200,85,94
11377560,0,200,100,94
11377560,0,200,75,94
11377560,0,200,95,94
11377560,0,200,80,94
11377560,0,200,90,94
11377560,0,200,105,94
11377560,0,200,120,94
11377560,0,200,110,94
11377560,0,200,115,94
11377743,1,200,50,101
11377743,0,200,60,101
11377743,0,200,70,101
11377743,0,200,55,101
11377743,0,200,65,101
11377743,0,200,85,101
11377743,0,200,100,101
11377743,0,200,75,101
11377743,0,200,95,101
11377743,0,200,80,101
11377743,0,200,90,101
11377743,0,200,105,101
11377743,0,200,120,101
11377743,0,200,110,101
11377743,0,200,115,101
11398332,1,200,50,109
11398332,1,200,60,109
11398332,1,200,70,109
11398332,1,200,55,109
11398332,1,200,65,109
11398332,0,200,85,109
11398332,0,200,100,109
11398332,1,200,75,109
11398332,0,200,95,109
11398332,0,200,80,109
11398332,0,200,90,109
11398332,0,200,105,109
11398332,0,200,120,109
11398332,0,200,110,109
11398332,0,200,115,109
11398344,1,200,50,114
11398344,1,200,60,114
11398344,1,200,70,114
11398344,1,200,55,114
11398344,1,200,65,114
11398344,0,200,85,114
11398344,0,200,100,114
11398344,1,200,75,114
11398344,0,200,95,114
11398344,0,200,80,114
11398344,0,200,90,114
11398344,0,200,105,114
11398344,0,200,120,114
11398344,0,200,110,114
11398344,0,200,115,114
11398331,0,200,50,108
11398331,0,200,60,108
11398331,0,200,70,108
11398331,0,200,55,108
11398331,0,200,65,108
11398331,0,200,85,108
11398331,0,200,100,108
11398331,0,200,75,108
11398331,0,200,95,108
11398331,0,200,80,108
11398331,0,200,90,108
11398331,0,200,105,108
11398331,0,200,120,108
11398331,0,200,110,108
11398331,0,200,115,108
11371842,0,200,50,3
11371842,0,200,60,3
11371842,0,200,70,3
11371842,0,200,55,3
11371842,0,200,65,3
11371842,0,200,85,3
11371842,0,200,100,3
11371842,1,200,75,3
11371842,1,200,95,3
11371842,0,200,80,3
11371842,1,200,90,3
11371842,1,200,105,3
11371842,1,200,120,3
11371842,1,200,110,3
11371842,1,200,115,3
11375529,1,200,50,6
11375529,1,200,60,6
11375529,1,200,70,6
11375529,1,200,55,6
11375529,1,200,65,6
11375529,0,200,85,6
11375529,0,200,100,6
11375529,0,200,75,6
11375529,0,200,95,6
11375529,0,200,80,6
11375529,0,200,90,6
11375529,0,200,105,6
11375529,0,200,120,6
11375529,0,200,110,6
11375529,0,200,115,6
11375583,1,200,50,13
11375583,1,200,60,13
11375583,1,200,70,13
11375583,1,200,55,13
11375583,1,200,65,13
11375583,1,200,85,13
11375583,0,200,100,13
11375583,1,200,75,13
11375583,0,200,95,13
11375583,1,200,80,13
11375583,1,200,90,13
11375583,0,200,105,13
11375583,0,200,120,13
11375583,0,200,110,13
11375583,0,200,115,13
11375685,1,200,50,18
11375685,0,200,60,18
11375685,0,200,70,18
11375685,1,200,55,18
11375685,0,200,65,18
11375685,0,200,85,18
11375685,0,200,100,18
11375685,1,200,75,18
11375685,0,200,95,18
11375685,0,200,80,18
11375685,0,200,90,18
11375685,0,200,105,18
11375685,0,200,120,18
11375685,0,200,110,18
11375685,0,200,115,18
11375721,0,200,50,21
11375721,0,200,60,21
11375721,0,200,70,21
11375721,0,200,55,21
11375721,0,200,65,21
11375721,0,200,85,21
11375721,0,200,100,21
11375721,0,200,75,21
11375721,0,200,95,21
11375721,0,200,80,21
11375721,0,200,90,21
11375721,0,200,105,21
11375721,0,200,120,21
11375721,0,200,110,21
11375721,0,200,115,21
11375889,1,200,50,29
11375889,1,200,60,29
11375889,1,200,70,29
11375889,1,200,55,29
11375889,1,200,65,29
11375889,1,200,85,29
11375889,0,200,100,29
11375889,1,200,75,29
11375889,1,200,95,29
11375889,1,200,80,29
11375889,1,200,90,29
11375889,0,200,105,29
11375889,0,200,120,29
11375889,0,200,110,29
11375889,0,200,115,29
11375966,0,200,50,34
11375966,0,200,60,34
11375966,0,200,70,34
11375966,0,200,55,34
11375966,0,200,65,34
11375966,0,200,85,34
11375966,0,200,100,34
11375966,0,200,75,34
11375966,0,200,95,34
11375966,0,200,80,34
11375966,0,200,90,34
11375966,0,200,105,34
11375966,0,200,120,34
11375966,0,200,110,34
11375966,0,200,115,34
11376225,0,200,50,45
11376225,0,200,60,45
11376225,0,200,70,45
11376225,0,200,55,45
11376225,0,200,65,45
11376225,0,200,85,45
11376225,0,200,100,45
11376225,0,200,75,45
11376225,0,200,95,45
11376225,0,200,80,45
11376225,0,200,90,45
11376225,0,200,105,45
11376225,0,200,120,45
11376225,0,200,110,45
11376225,0,200,115,45
11376521,0,200,50,55
11376521,0,200,60,55
11376521,0,200,70,55
11376521,0,200,55,55
11376521,0,200,65,55
11376521,0,200,85,55
11376521,0,200,100,55
11376521,0,200,75,55
11376521,0,200,95,55
11376521,0,200,80,55
11376521,0,200,90,55
11376521,0,200,105,55
11376521,0,200,120,55
11376521,0,200,110,55
11376521,0,200,115,55
11376635,1,200,50,59
11376635,1,200,60,59
11376635,1,200,70,59
11376635,1,200,55,59
11376635,1,200,65,59
11376635,0,200,85,59
11376635,0,200,100,59
11376635,1,200,75,59
11376635,0,200,95,59
11376635,0,200,80,59
11376635,0,200,90,59
11376635,0,200,105,59
11376635,0,200,120,59
11376635,0,200,110,59
11376635,0,200,115,59
11376667,1,200,50,62
11376667,1,200,60,62
11376667,1,200,70,62
11376667,1,200,55,62
11376667,1,200,65,62
11376667,0,200,85,62
11376667,0,200,100,62
11376667,1,200,75,62
11376667,0,200,95,62
11376667,0,200,80,62
11376667,0,200,90,62
11376667,0,200,105,62
11376667,0,200,120,62
11376667,0,200,110,62
11376667,0,200,115,62
11376914,1,200,50,72
11376914,1,200,60,72
11376914,1,200,70,72
11376914,1,200,55,72
11376914,1,200,65,72
11376914,1,200,85,72
11376914,0,200,100,72
11376914,1,200,75,72
11376914,1,200,95,72
11376914,1,200,80,72
11376914,1,200,90,72
11376914,0,200,105,72
11376914,0,200,120,72
11376914,0,200,110,72
11376914,0,200,115,72
11377065,1,200,50,78
11377065,0,200,60,78
11377065,0,200,70,78
11377065,1,200,55,78
11377065,0,200,65,78
11377065,0,200,85,78
11377065,0,200,100,78
11377065,0,200,75,78
11377065,0,200,95,78
11377065,0,200,80,78
11377065,0,200,90,78
11377065,0,200,105,78
11377065,0,200,120,78
11377065,0,200,110,78
11377065,0,200,115,78
11377307,1,200,50,84
11377307,1,200,60,84
11377307,0,200,70,84
11377307,1,200,55,84
11377307,1,200,65,84
11377307,0,200,85,84
11377307,0,200,100,84
11377307,1,200,75,84
11377307,0,200,95,84
11377307,1,200,80,84
11377307,0,200,90,84
11377307,0,200,105,84
11377307,0,200,120,84
11377307,0,200,110,84
11377307,0,200,115,84
11377380,1,200,50,87
11377380,1,200,60,87
11377380,1,200,70,87
11377380,1,200,55,87
11377380,1,200,65,87
11377380,1,200,85,87
11377380,0,200,100,87
11377380,0,200,75,87
11377380,0,200,95,87
11377380,0,200,80,87
11377380,0,200,90,87
11377380,0,200,105,87
11377380,0,200,120,87
11377380,0,200,110,87
11377380,0,200,115,87
11377565,1,200,50,95
11377565,1,200,60,95
11377565,0,200,70,95
11377565,1,200,55,95
11377565,1,200,65,95
11377565,0,200,85,95
11377565,0,200,100,95
11377565,0,200,75,95
11377565,0,200,95,95
11377565,0,200,80,95
11377565,0,200,90,95
11377565,0,200,105,95
11377565,0,200,120,95
11377565,0,200,110,95
11377565,0,200,115,95
11377775,1,200,50,102
11377775,1,200,60,102
11377775,1,200,70,102
11377775,1,200,55,102
11377775,1,200,65,102
11377775,1,200,85,102
11377775,1,200,100,102
11377775,1,200,75,102
11377775,1,200,95,102
11377775,1,200,80,102
11377775,1,200,90,102
11377775,1,200,105,102
11377775,0,200,120,102
11377775,0,200,110,102
11377775,0,200,115,102
11379574,1,200,50,104
11379574,1,200,60,104
11379574,1,200,70,104
11379574,1,200,55,104
11379574,1,200,65,104
11379574,1,200,85,104
11379574,0,200,100,104
11379574,1,200,75,104
11379574,0,200,95,104
11379574,1,200,80,104
11379574,0,200,90,104
11379574,0,200,105,104
11379574,0,200,120,104
11379574,0,200,110,104
